Unnamed: 0.1,Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
79,87,2029-05-01 08:00:00,PWM-001,11895,Electromagnetic Coil,1,"Aluminum, Glass",Vendor UU,500,10 weeks,Medium,External,A.2,Pressure Gauge Assembly,SEMI S345,Wavelength Accuracy Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,218.0
21,80,2024-12-01 08:00:00,PCB-002,99002,Vacuum Leak Checker,1,Stainless Steel,Vendor L,21661,4 weeks,Medium,External,A.1,GC Integration,SEMI S678,Thermal Stability Tests,Provided by vendor,Level 2,156.0,Custom crate,"RoHS, REACH",-,31.0
76,100,2023-12-01 08:00:00,LDP-002,99002,System for controlling gas flow rates,1,"Plastic, Aluminum",Vendor BB,12351,8 weeks,High,External,A.3,IMS Integration,SEMI S234,Functional Tests,Provided by vendor,Level 1,200.0,Custom packaging,"RoHS, REACH",-,114.0
0,28,2026-10-01 08:00:00,HVM-002,84402,Gas Cylinder for GC Module,1,"Copper, Silicon",Vendor XX,2204,12 weeks,Low,External,A.2,AFM Integration,SEMI S234,Electrical Safety Tests,Provided by vendor,Level 1,68.0,Custom packaging,"RoHS, REACH",-,77.0
100,100,2026-04-01 08:00:00,ISA-002,17092,RF Generator and Electrostatic Chuck Assembly,1,"Aluminum, Glass",Vendor FFF,30000,10 weeks,Medium,External,A.1,Vacuum Sealing,ISO 14001,Deposition Uniformity Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,26.0
89,40,2027-07-01 08:00:00,EMC-003,99002,Mass Spectrometry Analyzer,1,"Electronic Components, Ceramic",Vendor MM,30000,12 weeks,High,External,B.2,PLD Integration,SEMI S345,Resolution Test,Provided by vendor,Level 1,47.0,Custom packaging,"RoHS, REACH",-,240.0
100,0,2025-02-01 08:00:00,CSU-001,38429,Valve for Gas Distribution,1,Stainless Steel,Vendor XYZ,500,4 weeks,High,External,A.3,Vacuum Sealing,SEMI S567,Polishing Uniformity Test,Provided by vendor,Level 2,38.0,Custom crate,"RoHS, REACH",-,106.0
49,100,2030-01-01 08:00:00,GDS-001,11223,Gas Chromatography Module,1,"Stainless Steel, Plastic",Vendor S,30000,6 weeks,Medium,External,A.2,Software Development,SEMI S567,Mass Spectrometry Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,61.0
0,48,2029-07-01 08:00:00,MEMS-002,33540,Nanoparticle Deposition Module,1,"Polyethylene, Aluminum",Vendor JJ,500,14 weeks,Medium,External,A.3,MAS Integration,SEMI S678,Gas Composition Analysis,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,147.0
99,96,2028-04-01 08:00:00,GC-002,12117,System for loading wafers into chamber,1,Silicon,Vendor Q,500,15 weeks,High,External,B.1,PMS Integration,SEMI S567,Ultrasonic Testing,Provided by vendor,Level 1,145.0,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,33.0
63,46,2027-07-01 08:00:00,PSA-001,99002,Remote Plasma Inspection Unit,1,Stainless Steel,Vendor XX,500,10 weeks,Medium,External,A.3,Quartz Fabrication,SEMI S567,Control System Tests,Provided by vendor,Level 1,200.0,Custom crate,"RoHS, REACH",-,79.0
0,69,2023-05-01 08:00:00,EMS-002,95885,Coolant Purification System,1,"Stainless Steel, Plastic",Vendor J,30000,6 weeks,Medium,External,B.2,Injection Molding,SEMI S678,Functional Tests,Provided by vendor,Level 2,73.0,Custom crate,"RoHS, REACH",-,122.0
0,67,2030-01-01 08:00:00,PLD-001,99002,Data Acquisition System,1,Carbon Composite,Vendor C,4716,14 weeks,Medium,External,A.2,SPA Integration,SEMI S567,Pressure Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,191.0
67,57,2025-07-01 08:00:00,RMS-003,41950,Terahertz Spectroscopy Module,1,Copper,Vendor E,30000,22 weeks,Medium,External,A.1,PMS Integration,SEMI S234,Spectral Analysis Test,Provided by vendor,Level 2,93.0,Custom packaging,"RoHS, REACH",-,126.0
100,74,2023-06-01 08:00:00,RMS-002,11223,Flow Control Module,1,Copper,Vendor DDD,30000,8 weeks,Medium,External,A.2,Coating and Sputtering,SEMI S567,Resolution Enhancement Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,125.0
84,20,2024-08-01 08:00:00,SPG-001,11223,Photoacoustic Spectroscopy Module,1,"Titanium, Glass",Vendor BBB,19301,12 weeks,High,External,A.1,Thermal Evaporation Process,SEMI S567,Thermal Stability Tests,Provided by vendor,Level 1,66.0,Custom crate,"RoHS, REACH",-,30.0
100,59,2027-01-01 08:00:00,NEW-001,72412,Precision temperature control,1,Brass,Vendor Y,500,8 weeks,High,External,A.1,Filtration and Purification,SEMI S567,Flow Control Tests,Provided by vendor,Level 1,145.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,49.0
88,78,2025-05-01 08:00:00,WLS-002,32141,Terahertz Spectroscopy Module,1,"Aluminum Alloy, Glass",Vendor V,9996,10 weeks,High,External,A.3,RFS Integration,SEMI S567,Temperature Stability Test,Provided by vendor,Level 1,141.0,Custom packaging,"RoHS, REACH",-,146.0
100,100,2027-09-01 08:00:00,LMP-001,11223,Control system for plasma parameters,1,"Copper, Silicon",Vendor E,9909,20 weeks,Medium,External,A.2,"CNC Machining, Welding",SEMI S567,Functional Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,33.0
78,100,2024-08-01 08:00:00,HEA-002,88414,Laser Spectroscopy Module,1,"Titanium, Polypropylene",Vendor O,30000,8 weeks,Medium,External,A.1,Ion Implantation Process,SEMI S567,Spectral Resolution Test,Provided by vendor,Level 1,86.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,240.0
93,38,2028-08-01 08:00:00,CCM-001,11223,Lid for chamber,1,Zinc Sulfide,Vendor W,500,10 weeks,Medium,External,A.2,DTP Integration,SEMI S567,Resolution Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
69,89,2025-02-01 08:00:00,VLC-002,30963,Nanoparticle Deposition Module,1,"Ceramic, Silicon",Vendor YY,30000,12 weeks,High,External,A.2,DAS Integration,SEMI S890,Resonance Frequency Test,Provided by vendor,Level 1,103.0,Custom crate,"RoHS, REACH",-,38.0
58,84,2029-07-01 08:00:00,EUV-001,54835,Liquid Chromatography Unit,1,"Electronic Components, Plastic",Vendor S,30000,22 weeks,High,External,A.2,Gas Supply System Assembly,ISO 14001,Reactive Ionization Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,39.0
100,100,2030-04-01 08:00:00,EMS-002,11666,Digital-to-Analog Converter,1,Stainless Steel,Vendor Q,500,12 weeks,High,External,A.1,Integration of Components,SEMI S456,Leak Test,Provided by vendor,Level 1,140.0,Custom packaging,"RoHS, REACH",Safety interlocks during handling,240.0
100,82,2026-04-01 08:00:00,SPA-001,99002,Ion source for plasma etching,1,Zinc Sulfide,Vendor BB,30000,8 weeks,High,External,A.2,Integration of Components,SEMI S234,Gas Purity Analysis,Provided by vendor,Level 1,124.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,31.0
100,0,2027-11-01 08:00:00,PLD-001,74868,Dynamic Temperature Profiler,1,"Copper, Ceramic",Vendor R,500,4 weeks,High,External,A.2,FTIR Spectroscopy Integration,SEMI S890,Thermal Stability Tests,Provided by vendor,Level 2,177.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,88.0
100,94,2029-09-01 08:00:00,WHS-001,45236,Plasma Cleaning Brush Unit,1,"Polyethylene, Silicon",Vendor NN,500,6 weeks,Low,External,A.2,LSM Integration,SEMI S345,Mass Spectrometry Test,Provided by vendor,Level 1,8.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,103.0
96,56,2023-08-01 08:00:00,ISA-002,99002,Electron Spin Resonance Module,1,"Aluminum, Glass",Vendor J,500,6 weeks,Low,External,A.1,CVL Integration,SEMI S234,Terahertz Wave Analysis,Provided by vendor,Level 1,52.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,8.0
59,68,2028-06-01 08:00:00,GC-003,68956,Lamp for Plasma Source,1,"Ceramic, Titanium",Vendor I,500,12 weeks,High,External,A.3,Thermal Probe Assembly,SEMI S456,Pressure Test,Provided by vendor,Level 1,6.0,Custom packaging,"RoHS, REACH",-,189.0
97,0,2023-04-01 08:00:00,HVS-001,22700,Pulsed Laser Deposition Unit,1,Electronic Components,Vendor Z,500,8 weeks,Low,External,B.1,Thermal Evaporation Process,SEMI S234,Activation Efficiency Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,240.0
100,100,2027-06-01 08:00:00,APS-002,11223,Gas Cylinder for GC Module,1,Polypropylene,Vendor M,21555,12 weeks,Medium,External,A.2,Sensing Device Assembly,SEMI S456,Atmospheric Control Tests,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,130.0
86,70,2026-05-01 08:00:00,UTS-002,11223,Thermal Stability Probe,1,"Silicon, Copper",Vendor J,500,12 weeks,High,External,A.2,Remote Plasma Technology,SEMI S678,Spectral Analysis Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
100,100,2025-12-01 08:00:00,CST-001,12647,Atmospheric Control Panel,1,"Quartz, Dielectric Materials",Vendor D,17599,4 weeks,Medium,External,A.2,EMF Integration,SEMI S789,Image Resolution Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,154.0
68,33,2029-06-01 08:00:00,SPG-001,23946,Ion source for plasma etching,1,"Titanium, Glass",Vendor ZZ,500,20 weeks,Medium,External,A.1,PRA Integration,SEMI S567,Vaporization Rate Test,Provided by vendor,Level 1,81.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,8.0
0,46,2030-07-01 08:00:00,PCB-002,97104,Time-of-Flight Mass Spectrometry Module,1,"Steel, Plastic",Vendor ZZ,500,20 weeks,Medium,External,A.1,Thermal Evaporation Process,SEMI S789,Performance Test,Provided by vendor,Level 1,45.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,57.0
13,54,2030-01-01 08:00:00,CMP-002,17498,Remote Monitoring System,1,"Titanium, Polypropylene",Vendor GG,9660,8 weeks,High,External,A.2,AFM Integration,SEMI S567,Cooling Efficiency Test,Provided by vendor,Level 1,101.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,80.0
31,91,2024-02-01 08:00:00,PSD-002,11223,Vacuum Leak Checker,1,"Aluminum Alloy, Glass",Vendor F,29313,8 weeks,Low,External,A.2,TOF-MS Integration,SEMI S567,Coating Uniformity Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,240.0
65,75,2029-09-01 08:00:00,HVM-002,99002,Atomic Force Resonance Module,1,"Glass, Quartz",Vendor B,30000,12 weeks,High,External,B.1,Hydrogen Activation Process,SEMI S567,Functional Tests,Provided by vendor,Level 2,106.0,Custom packaging,"RoHS, REACH",-,132.0
100,100,2029-10-01 08:00:00,EDA-001,82398,Mass Spectrometer Interface,1,"Inconel, Polyurethane",Vendor BBB,20259,6 weeks,Low,External,A.2,PAS Integration,SEMI S234,Pressure Calibration,Provided by vendor,Level 1,173.0,Custom packaging,"RoHS, REACH",-,120.0
99,100,2030-07-01 08:00:00,PCB-002,62239,Reactive Mass Spectrometry Module,1,"Silicon, Plastic",Vendor II,500,15 weeks,Medium,External,A.2,Calibration Procedure,ISO 9001,Pressure Calibration,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
96,100,2025-07-01 08:00:00,AFM-001,99002,High-Energy Accelerator,1,"Ceramic, Silicon",Vendor B,29376,8 weeks,Medium,External,A.3,Automated Loading,SEMI S123,Mass Spectrometry Test,Provided by vendor,Level 2,162.0,Custom crate,"RoHS, REACH",-,106.0
38,0,2027-11-01 08:00:00,PSD-002,82853,Electron Microscopy System,1,"Plastic, Stainless Steel",Vendor B,8994,14 weeks,Low,External,A.2,Plasma Brush Technology,SEMI S567,Cleaning Efficiency Test,Provided by vendor,Level 1,126.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,26.0
100,100,2025-02-01 08:00:00,HEA-002,19369,Photolithography Enhancement Unit,1,"Glass, Quartz",Vendor U,500,8 weeks,Low,External,A.1,EUV Technology,SEMI S234,Separation Efficiency Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
12,65,2029-07-01 08:00:00,CST-001,99002,Photoacoustic Spectroscopy Module,1,"Quartz, Dielectric Materials",Vendor Y,5076,12 weeks,High,External,A.3,EDA Integration,SEMI S234,Spectral Resolution Test,Provided by vendor,Level 1,10.0,Custom crate,"RoHS, REACH",-,8.0
82,72,2030-02-01 08:00:00,TES-002,15960,Thermal Evaporation Source,1,"Gold, Polymer",Vendor ZZ,500,6 weeks,Medium,External,A.1,HPS Integration,ISO 9001,Gas Purity Analysis,Provided by vendor,Level 1,6.0,Custom packaging,"RoHS, REACH",-,33.0
100,54,2026-08-01 08:00:00,CHM-001,67239,System for controlling gas flow rates,1,Plastic,Vendor C,10467,15 weeks,High,External,A.3,LSM Integration,SEMI S345,Polishing Uniformity Test,Provided by vendor,Level 2,111.0,Custom crate,"RoHS, REACH",-,81.0
37,63,2025-08-01 08:00:00,HVM-002,79136,Coolant Pump for Closed-loop System,1,Electronic Components,Vendor U,500,8 weeks,High,External,A.1,Thermoelectric Cooling,SEMI S567,Remote Monitoring Tests,Provided by vendor,Level 1,174.0,Custom crate,"RoHS, REACH",-,240.0
100,37,2026-06-01 08:00:00,GC-002,99002,Ion Implantation Module,1,Brass,Vendor X,500,12 weeks,High,External,A.1,Electronic Assembly,SEMI S567,Pressure Calibration,Provided by vendor,Level 1,164.0,Custom crate,"RoHS, REACH",-,56.0
80,100,2023-11-01 08:00:00,LPC-002,78933,Remote Monitoring System,1,"Aluminum, Glass",Vendor I,3930,12 weeks,Low,External,A.2,ACU Integration,SEMI S456,Helium Leak Test,Provided by vendor,Level 1,171.0,Custom crate,"RoHS, REACH",-,240.0
100,89,2023-01-01 08:00:00,PCB-002,11223,Gas Chromatography Module,1,"Stainless Steel, Plastic",Vendor U,500,22 weeks,Medium,External,A.1,FCM Assembly,SEMI S234,Performance Test,Provided by vendor,Level 1,48.0,Custom crate,"RoHS, REACH",-,230.0
100,78,2030-03-01 08:00:00,RTS-001,99002,Ion source for plasma etching,1,Plastic,Vendor H,4567,12 weeks,Medium,External,A.1,Vacuum Technology,SEMI S678,Reactive Ionization Test,Provided by vendor,Level 2,51.0,Custom packaging,"RoHS, REACH",-,48.0
95,0,2024-09-01 08:00:00,PCU-002,11223,Remote Tuning System,1,"Electronic Components, Plastic",Vendor AAA,500,8 weeks,Medium,External,A.3,LBC Integration,SEMI S456,Pressure Calibration,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
100,88,2024-11-01 08:00:00,PCS-002,79154,Digital-to-Analog Converter,1,Stainless Steel,Vendor E,30000,10 weeks,High,External,A.1,Nanoparticle Deposition,SEMI S890,Particle Acceleration Test,Provided by vendor,Level 2,172.0,Custom crate,"RoHS, REACH",-,139.0
58,100,2029-10-01 08:00:00,CCM-001,99002,Liquid Chromatography Unit,1,Electronic Components,Vendor F,6123,8 weeks,Medium,External,B.2,Chiller Assembly,SEMI S567,Calibration Tests,Provided by vendor,Level 2,154.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,117.0
100,58,2027-07-01 08:00:00,TCU-002,11223,Thermal Evaporation Source,1,Stainless Steel,Vendor WW,500,10 weeks,Medium,External,B.1,"CNC Machining, Welding",SEMI S789,Temperature Stability Test,Provided by vendor,Level 1,171.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,91.0
0,28,2023-03-01 08:00:00,HVS-001,11223,Remote Tuning System,1,"Aluminum, Glass",Vendor UU,500,12 weeks,Low,External,B.2,EMF Integration,SEMI S567,Remote Tuning Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,28.0
0,85,2025-04-01 08:00:00,MSI-001,79287,Remote Plasma Inspection Unit,1,"Aluminum, Quartz",Vendor C,500,4 weeks,High,External,A.2,Pressure Gauge Assembly,SEMI S234,Terahertz Wave Analysis,Provided by vendor,Level 2,157.0,Custom packaging,"RoHS, REACH",-,240.0
0,91,2024-07-01 08:00:00,ISA-002,95010,Plasma Cleaning Brush Unit,1,"Zinc Sulfide, Aluminum",Vendor W,30000,12 weeks,High,External,A.3,Electronic Assembly,SEMI S567,Electrical Tests,Provided by vendor,Level 1,82.0,Custom packaging,"RoHS, REACH",-,240.0
100,0,2030-06-01 08:00:00,FTIR-002,11223,Laser Beam Collimation Unit,1,"Copper, Ceramic",Vendor BBB,500,14 weeks,Medium,External,A.2,GDU Assembly,ISO 14001,Ion Dose Uniformity Test,Provided by vendor,Level 2,47.0,Custom packaging,"RoHS, REACH",-,24.0
9,100,2028-04-01 08:00:00,CS-002,81426,Plasma Control Software System,1,Copper,Vendor Y,500,4 weeks,High,External,A.1,ACP Integration,SEMI S567,Gas Purity Analysis,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,172.0
100,91,2024-09-01 08:00:00,FTIR-002,35240,Electron Microscopy System,1,"Glass, Quartz",Vendor SS,3917,10 weeks,Medium,External,A.2,AFR Integration,SEMI S567,Pressure Calibration,Provided by vendor,Level 2,40.0,Custom packaging,"RoHS, REACH",-,219.0
100,74,2030-03-01 08:00:00,ESR-002,62841,Thermal Stability Probe,1,"Quartz, Dielectric Materials",Vendor C,500,10 weeks,Low,External,A.2,Electronic Assembly,SEMI S123,Spectral Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,80.0
0,33,2029-11-01 08:00:00,PPS-002,53594,High-performance vacuum system,1,Plastic,Vendor G,18701,8 weeks,High,External,B.1,FTIR Spectroscopy Integration,SEMI S567,Purification Efficiency Test,Provided by vendor,Level 1,120.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,228.0
72,100,2023-02-01 08:00:00,DAC-002,11223,Electron Microscopy System,1,Stainless Steel,Vendor S,30000,18 weeks,High,External,A.2,Calibration Procedure,SEMI S345,Spectral Resolution Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,52.0
97,26,2027-12-01 08:00:00,CCM-001,17912,Ion source for plasma etching,1,"Aluminum Alloy, Ceramic",Vendor GG,500,10 weeks,Medium,External,A.1,Leak Checker Assembly,SEMI S567,Flow Rate Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,8.0
90,79,2028-02-01 08:00:00,NEW-001,11223,Advanced Plasma Source,1,Ceramic,Vendor WW,5673,15 weeks,Low,External,B.2,Software Development,SEMI S890,Ion Dose Uniformity Test,Provided by vendor,Level 1,127.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,211.0
36,51,2029-12-01 08:00:00,DTP-001,11223,Electron Spin Resonance Module,1,Silicon,Vendor VV,500,15 weeks,Medium,External,A.2,Pressure Gauge Assembly,SEMI S567,Functional Tests,Provided by vendor,Level 2,200.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,208.0
100,100,2029-11-01 08:00:00,TCU-002,11223,Mass Spectrometer Interface,1,"Polyethylene, Silicon",Vendor S,500,10 weeks,Medium,External,A.1,Leak Checker Assembly,SEMI S567,Visual Inspection,Provided by vendor,Level 1,102.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,125.0
28,0,2024-08-01 08:00:00,CMP-002,65017,Gas Supply Unit,1,Aluminum Alloy,Vendor E,30000,14 weeks,Medium,External,A.2,Thermal Probe Assembly,SEMI S567,Ellipsometry Accuracy Test,Provided by vendor,Level 2,13.0,Custom packaging,"RoHS, REACH",-,120.0
71,100,2025-02-01 08:00:00,FTIR-001,59733,Thermal Stability Probe,1,"Silicon, Plastic",Vendor H,500,12 weeks,High,External,B.1,Automated Loading,SEMI S234,Plasma Characteristics Analysis,Provided by vendor,Level 1,25.0,Custom packaging,"RoHS, REACH",-,80.0
100,76,2027-05-01 08:00:00,PLD-001,11223,Plasma Control Software System,1,Quartz,Vendor VV,500,10 weeks,Medium,External,A.2,Electronic Assembly,SEMI S678,Mass Accuracy Test,Provided by vendor,Level 2,122.0,Custom crate,"RoHS, REACH",-,240.0
75,5,2026-11-01 08:00:00,HFS-001,99002,High-Voltage Modulator,1,Optical Elements,Vendor EEE,500,10 weeks,Low,External,A.3,CMP Technology,SEMI S345,Voltage Modulation Test,Provided by vendor,Level 1,165.0,Custom crate,"RoHS, REACH",-,31.0
100,100,2024-11-01 08:00:00,FTIR-002,83556,Mid-Infrared Spectroscopy Module,1,"Stainless Steel, Glass",Vendor MM,30000,12 weeks,Medium,External,A.1,RMS Integration,SEMI S567,Plasma Uniformity Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,33.0
100,21,2029-09-01 08:00:00,GDU-002,38191,Vacuum Sealing System,1,"Copper, Ceramic",Vendor SS,500,15 weeks,Medium,External,A.1,Coating and Sputtering,SEMI S345,Magnetic Field Uniformity Test,Provided by vendor,Level 1,88.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,122.0
100,47,2026-02-01 08:00:00,CLT-001,11223,Cathode Voltage Limiter,1,"Steel, Plastic",Vendor E,500,15 weeks,High,External,B.1,Software Development,SEMI S890,Acoustic Wave Control Test,Provided by vendor,Level 1,85.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
100,63,2028-04-01 08:00:00,APS-002,84478,Reactive Mass Spectrometry Module,1,Mercury Vapor,Vendor ZZ,22917,15 weeks,High,External,A.1,Electronic Assembly,SEMI S678,Image Resolution Test,Provided by vendor,Level 1,80.0,Custom crate,"RoHS, REACH",-,68.0
97,100,2030-03-01 08:00:00,TOF-001,38539,Fourier Transform Infrared Spectroscopy Module,1,"Polyethylene, Aluminum",Vendor RR,30000,8 weeks,Medium,External,B.2,Calibration Procedure,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,72.0
25,74,2025-02-01 08:00:00,GPS-002,99002,Fourier Transform Infrared Spectroscopy Module,1,Silicon,Vendor AAA,500,10 weeks,High,External,A.3,ACP Integration,SEMI S567,Electromagnetic Compatibility Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
26,88,2030-01-01 08:00:00,RMS-003,19562,Mass Spectrometry Analyzer,1,Ceramic,Vendor WW,4727,10 weeks,Medium,External,A.2,EDA Integration,SEMI S678,Pressure Calibration,Provided by vendor,Level 2,105.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
59,43,2023-01-01 08:00:00,THZ-001,99002,Reactive Mass Spectrometry Module,1,"Aluminum Alloy, Ceramic",Vendor F,25746,6 weeks,Medium,External,A.1,Ultrasonic Testing Integration,SEMI S345,Pressure Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,139.0
25,41,2027-08-01 08:00:00,CMP-002,11223,Gas Cylinder for GC Module,1,"Ceramic, Silicon",Vendor AA,500,10 weeks,Medium,External,A.1,RMS Integration,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,165.0
100,100,2029-06-01 08:00:00,LDP-002,99002,Electron Microscopy System,1,"Stainless Steel, Glass",Vendor Z,25098,12 weeks,High,External,B.1,Plasma Brush Technology,SEMI S345,Spectral Resolution Test,Provided by vendor,Level 2,164.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,205.0
100,85,2025-02-01 08:00:00,PCS-002,11223,Photolithography Enhancement Unit,1,"Copper, Silicon",Vendor H,30000,6 weeks,Medium,External,A.3,Coil Assembly,SEMI S456,Acoustic Wave Control Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,152.0
4,91,2027-09-01 08:00:00,HGA-001,11223,Vacuum Sealing System,1,Plastic,Vendor XX,30000,8 weeks,Medium,External,A.1,CPS Integration,SEMI S345,Spectral Resolution Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,8.0
59,93,2025-02-01 08:00:00,RTS-001,11223,Hydrogen Gas Activation Unit,1,Stainless Steel,Vendor H,30000,16 weeks,Medium,External,A.1,SPS Integration,SEMI S567,Nanoparticle Size Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",-,204.0
55,14,2028-07-01 08:00:00,LVD-001,11223,Hydrogen Gas Activation Unit,1,Stainless Steel,Vendor EEE,500,10 weeks,Medium,External,A.2,MSI Integration,SEMI S345,Microstructural Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,26.0
0,90,2027-10-01 08:00:00,RFI-002,81244,Calibration Kit,1,"Titanium, Glass",Vendor E,24304,6 weeks,Medium,External,A.2,Electronic Assembly,SEMI S345,Flow Rate Test,Provided by vendor,Level 2,111.0,Custom packaging,"RoHS, REACH",-,129.0
24,31,2025-05-01 08:00:00,GDU-002,99002,Coolant Pump for Closed-loop System,1,"Aluminum Alloy, Ceramic",Vendor U,22985,18 weeks,High,External,B.2,EMF Integration,SEMI S345,Electrical Safety Tests,Provided by vendor,Level 2,158.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,28.0
96,81,2023-02-01 08:00:00,GDS-001,99002,Radio Frequency Quadrupole Unit,1,"Titanium, Polypropylene",Vendor YY,30000,4 weeks,High,External,A.1,Electronic Assembly,SEMI S567,Polishing Uniformity Test,Provided by vendor,Level 2,181.0,Custom crate,"RoHS, REACH",-,240.0
100,49,2023-11-01 08:00:00,LVD-001,99002,Cathode Voltage Limiter,1,"Aluminum, Glass",Vendor LL,1506,18 weeks,High,External,A.3,ACP Integration,SEMI S456,Mass Spectrometry Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,57.0
10,36,2027-07-01 08:00:00,PMS-001,23242,Ion Milling System,1,"Stainless Steel, Polyethylene",Vendor SS,27147,12 weeks,High,External,A.2,RTS Integration,ISO 14001,Polishing Uniformity Test,Provided by vendor,Level 1,179.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,60.0
100,78,2026-06-01 08:00:00,EUV-001,12783,Residual Gas Analyzer,1,Tungsten,Vendor E,9215,12 weeks,Low,External,A.3,ESR Integration,SEMI S345,Milling Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,27.0
95,88,2023-05-01 08:00:00,CSU-001,64749,Fault Tolerance System,1,Stainless Steel,Vendor T,7871,8 weeks,Medium,External,A.3,PMS Integration,ISO 9001,Control System Tests,Provided by vendor,Level 2,132.0,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,149.0
100,38,2030-03-01 08:00:00,ACP-001,99002,Gas distribution manifold,1,Stainless Steel,Vendor EE,500,12 weeks,Medium,External,A.2,Remote Plasma Technology,SEMI S234,Pressure Calibration,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening,89.0
14,100,2026-02-01 08:00:00,GSU-001,50020,Lamp for Plasma Source,1,Ceramic,Vendor VV,5906,10 weeks,Medium,External,A.2,Electronic Assembly,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,224.0
