Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Etching Chamber;CHM-001;Specialized chamber for etching process;1;Titanium;Vendor L;$20,000;15 weeks;Medium;External;A.2;Automated Loading;SEMI S890;Gas Flow Stability Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;PDM-002;RF Generator and Electrostatic Chuck Assembly;1;Aluminum Alloy;Vendor H;$15,000;22 weeks;High;External;A.1;Filtration and Purification;SEMI S789;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Plasma Source Assembly;PCU-002;Diagnostic tools for monitoring plasma;1;Stainless Steel;Vendor O;$15,000;18 weeks;High;External;A.1;Quartz Fabrication;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;GDS-001;Closed-loop coolant system;1;Stainless Steel;Vendor Q;$8,000;10 weeks;Medium;External;A.1;Electronic Assembly;SEMI S456;Functional Tests;Provided by vendor;Level 1;150 kg;Digital delivery;RoHS, REACH;-
Power Supply Unit;WLS-002;Control system for plasma parameters;1;Aluminum Alloy;Vendor J;$10,000;8 weeks;High;External;A.1;Integration of Diagnostics;SEMI S234;Gas Flow Stability Test;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;GDS-001;Specialized chamber for etching process;1;Titanium;Vendor O;$30,000;14 weeks;Medium;External;A.2;Thermoelectric Cooling;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;200 kg;Custom packaging;RoHS, REACH;-
Gas Flow Management System;WHS-001;Lid for chamber;1;Aluminum Alloy;Vendor B;$30,000;8 weeks;Medium;External;B.2;Automated Loading;SEMI S567;Temperature Stability Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;TCU-002;High-performance vacuum system;1;Stainless Steel;Vendor O;$30,000;15 weeks;Medium;External;A.2;CNC Machining;SEMI S789;Visual Inspection;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;GFMS-002;High-performance vacuum system;1;Various;Vendor O;$8,000;16 weeks;High;External;A.2;Vacuum Technology;SEMI S567;Helium Leak Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;CSS-002;Software system for process control;1;Software;Vendor A;$8,000;10 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Gas Flow Management System;GPS-002;Closed-loop coolant system;1;Polypropylene;Vendor F;$18,000;12 weeks;High;External;B.1;Automated Loading;SEMI S789;Gas Flow Stability Test;Provided by vendor;Level 1;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Etching Chamber;GFMS-002;Gas distribution manifold;1;Aluminum Alloy;Vendor K;$22,000;12 weeks;Medium;External;A.3;Robotic Assembly;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;-
Cooling System;TCU-002;Gas purification and filtration;1;Quartz;Vendor M;$20,000;16 weeks;High;External;A.3;Vacuum Technology;SEMI S234;Visual Inspection;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Delivery System;PCU-002;High-performance vacuum system;1;Stainless Steel;Vendor M;$8,000;15 weeks;Medium;External;A.2;Laser Cutting, Assembly;SEMI S890;Gas Flow Stability Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Lid Assembly;PDM-002;Gas purification and filtration;1;Quartz;Vendor P;$28,000;22 weeks;Medium;External;B.1;Integration of Components;SEMI S567;Electrical Tests;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Chamber Assembly;GPS-002;Robot arm and wafer chuck;1;Inconel;Vendor E;$30,000;22 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;CHM-001;Closed-loop coolant system;1;Stainless Steel;Vendor G;$12,000;10 weeks;High;External;A.2;Flow Rate Calibration;SEMI S678;Pressure Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;CSS-002;High-performance vacuum system;1;Quartz;Vendor A;$8,000;10 weeks;High;External;B.2;Vacuum Technology;SEMI S567;Electrical Tests;Provided by vendor;Level 1;70 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;GDS-001;Software system for process control;1;Software;Vendor L;$20,000;16 weeks;Medium;External;A.2;Precision Machining;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;PCU-002;High-voltage power supply;1;Quartz;Vendor J;$25,000;18 weeks;Medium;External;A.3;Filtration and Purification;SEMI S789;Temperature Stability Test;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Gas Delivery System;CSS-002;System for controlling gas flow rates;1;Stainless Steel;Vendor E;$16,000;10 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S567;Software Testing;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Plasma Control Unit;CHM-001;Lid for chamber;1;Aluminum Alloy, Ceramic;Vendor N;$8,000;14 weeks;High;External;A.1;CNC Machining;SEMI S678;Leak Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;-
Plasma Source Assembly;PSA-001;Precision temperature control;1;Quartz;Vendor P;$16,000;14 weeks;Medium;External;A.3;Integration of Diagnostics;SEMI S234;Diagnostics Performance Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Delivery System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$18,000;20 weeks;Medium;External;B.1;CNC Machining, Welding;SEMI S678;Gas Purity Analysis;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;GFMS-002;Robot arm and wafer chuck;1;Aluminum Alloy;Vendor J;$28,000;18 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;GDS-001;Specialized chamber for etching process;1;Stainless Steel;Vendor J;$15,000;20 weeks;Medium;External;B.1;Automated Loading;SEMI S456;Temperature Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;-
Wafer Loading System;PSA-001;Gas purification and filtration;1;Stainless Steel;Vendor E;$22,000;15 weeks;Medium;External;B.1;Thermoelectric Cooling;SEMI S567;Helium Leak Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;-
Gas Delivery System;CSS-002;Main chamber body;1;Polypropylene;Vendor G;$16,000;10 weeks;High;External;A.1;Software Development;SEMI S234;Leak Test;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Lid Assembly;PDM-002;Ion source for plasma etching;1;Inconel;Vendor F;$20,000;14 weeks;High;External;A.3;Vacuum Technology;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;VS-002;Control system for plasma parameters;1;Titanium;Vendor F;$30,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S567;Leak Test;Provided by vendor;Level 2;120 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Gas Delivery System;PSA-001;Gas purification and filtration;1;Stainless Steel;Vendor E;$15,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S234;Helium Leak Test;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Plasma Control Unit;GFMS-002;Specialized chamber for etching process;1;Aluminum Alloy;Vendor O;$15,000;12 weeks;Medium;External;A.1;Electronic Assembly;SEMI S456;Robotic Tests;Provided by vendor;Level 1;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;PSU-002;Control system for plasma parameters;1;Copper, Silicon;Vendor H;$25,000;8 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;CS-002;Precision temperature control;1;Electronic Components;Vendor H;$15,000;8 weeks;High;External;A.1;Filtration and Purification;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;100 kg;Custom packaging;RoHS, REACH;-
Control Software System;GDS-001;High-voltage power supply;1;Copper, Silicon;Vendor H;$22,000;8 weeks;High;External;A.1;CNC Machining;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;Safety interlocks during handling
Plasma Diagnostics Module;VS-002;High-voltage power supply;1;Electronic Components;Vendor E;$12,000;18 weeks;High;External;A.3;Integration of Components;SEMI S234;Helium Leak Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Gas Flow Management System;LID-001;Gas purification and filtration;1;Software;Vendor P;$20,000;16 weeks;Medium;External;B.1;CNC Machining;SEMI S345;Electrical Tests;Provided by vendor;Level 1;100 kg;Custom crate;RoHS, REACH;-
Plasma Control Unit;VS-002;High-voltage power supply;1;Copper, Silicon;Vendor A;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S123;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;-
Gas Delivery System;CSS-002;System for loading wafers into chamber;1;Stainless Steel;Vendor K;$8,000;20 weeks;Medium;External;A.1;Electronic Assembly;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Etching Chamber;VS-002;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor E;$15,000;18 weeks;High;External;A.3;Automated Loading;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Lid Assembly;EC-002;System for loading wafers into chamber;1;Aluminum Alloy;Vendor P;$15,000;16 weeks;Medium;External;A.3;Precision Machining;SEMI S123;Electrical Tests;Provided by vendor;Level 2;70 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Control Software System;CSS-002;Software system for process control;1;Aluminum Alloy;Vendor L;$5,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S456;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Cooling System;CSS-002;System for controlling gas flow rates;1;Polypropylene;Vendor Q;$25,000;8 weeks;Medium;External;A.1;Quartz Fabrication;SEMI S345;Robotic Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;-
Ion Source Assembly;PDM-002;Precision temperature control;1;Various;Vendor D;$20,000;8 weeks;Medium;External;A.1;Robotic Assembly;SEMI S234;Electrical Tests;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Plasma Diagnostics Module;PSU-002;RF Generator and Electrostatic Chuck Assembly;1;Polypropylene;Vendor H;$10,000;15 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor O;$15,000;18 weeks;High;External;A.1;Quartz Fabrication;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;GFMS-002;Main chamber body;1;Stainless Steel;Vendor B;$15,000;12 weeks;High;External;A.1;CNC Machining;SEMI S345;Helium Leak Test;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;-
Gas Flow Management System;PSA-001;Gas purification and filtration;1;Stainless Steel;Vendor F;$15,000;14 weeks;Medium;External;A.1;Filtration and Purification;SEMI S456;Gas Flow Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;EC-002;Main chamber body;1;Various;Vendor J;$15,000;16 weeks;Medium;External;A.3;Thermoelectric Cooling;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;PSU-002;Software system for process control;1;Stainless Steel;Vendor G;$18,000;14 weeks;High;External;A.2;Software Development;SEMI S456;Vacuum Integrity Test;Provided by vendor;Level 2;30 kg;Digital delivery;RoHS, REACH;Safety interlocks during operation
Lid Assembly;ISA-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$15,000;14 weeks;High;External;A.2;CNC Machining;SEMI S789;Software Testing;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;-
Wafer Loading System;CSS-002;System for loading wafers into chamber;1;Stainless Steel;Vendor O;$8,000;14 weeks;Medium;External;A.2;Vacuum Technology;SEMI S678;Diagnostics Performance Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;PCU-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$15,000;12 weeks;Medium;External;A.3;CNC Machining, Welding;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Vacuum System;WLS-002;Precision temperature control;1;Electronic Components;Vendor D;$20,000;8 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S456;Electrical Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;WLS-002;System for loading wafers into chamber;1;Copper, Silicon;Vendor P;$18,000;12 weeks;Medium;External;B.1;Integration of Diagnostics;SEMI S456;Temperature Stability Test;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Diagnostics Module;LID-001;Diagnostic tools for monitoring plasma;1;Software;Vendor J;$22,000;14 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S456;Functional Tests;Provided by vendor;Level 1;120 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Vacuum System;CSS-002;High-voltage power supply;1;Software;Vendor Q;$8,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Visual Inspection;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Lid Assembly;VS-002;High-performance vacuum system;1;Aluminum Alloy;Vendor F;$16,000;8 weeks;Medium;External;B.1;Integration of Diagnostics;SEMI S456;Software Testing;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Delivery System;CSS-002;Software system for process control;1;Stainless Steel;Vendor Q;$8,000;10 weeks;High;External;A.2;CNC Machining;SEMI S678;Leak Test;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;-
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Vacuum System;WHS-001;System for controlling gas flow rates;1;Stainless Steel;Vendor K;$5,000;15 weeks;Medium;External;A.2;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;CHM-001;High-voltage power supply;1;Copper, Silicon;Vendor B;$5,000;18 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S345;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;LID-001;Diagnostic tools for monitoring plasma;1;Stainless Steel;Vendor J;$18,000;12 weeks;High;External;B.1;CNC Machining, Welding;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;VS-002;Closed-loop coolant system;1;Stainless Steel;Vendor Q;$8,000;10 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;-
Cooling System;CS-002;Closed-loop coolant system;1;Stainless Steel;Vendor Q;$12,000;10 weeks;Medium;External;A.2;CNC Machining;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 1;70 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;CHM-001;System for loading wafers into chamber;1;Electronic Components;Vendor A;$25,000;16 weeks;High;External;A.1;Quartz Fabrication;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Gas Purification System;WHS-001;Gas purification and filtration;1;Stainless Steel;Vendor O;$8,000;14 weeks;Medium;External;A.1;CNC Machining;SEMI S123;Robotic Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Ion Source Assembly;WHS-001;Precision temperature control;1;Titanium;Vendor E;$20,000;12 weeks;Medium;External;B.2;Integration of Components;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Power Supply Unit;PDM-002;Specialized chamber for etching process;1;Various;Vendor F;$20,000;14 weeks;High;External;A.3;Thermoelectric Cooling;SEMI S234;Visual Inspection;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Purification System;PDM-002;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor E;$30,000;10 weeks;Medium;External;B.1;CNC Machining, Welding;SEMI S678;Software Testing;Provided by vendor;Level 1;70 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;VS-002;Precision temperature control;1;Copper, Silicon;Vendor J;$20,000;12 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;PSU-002;System for controlling gas flow rates;1;Software;Vendor A;$15,000;12 weeks;High;External;A.1;Filtration and Purification;SEMI S345;Visual Inspection;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Gas Delivery System;ISA-002;System for loading wafers into chamber;1;Aluminum Alloy;Vendor H;$10,000;18 weeks;High;External;A.1;CNC Machining;SEMI S456;Gas Flow Stability Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Wafer Handling System;GDS-001;RF Generator and Electrostatic Chuck Assembly;1;Electronic Components;Vendor M;$20,000;14 weeks;Medium;External;B.2;Precision Machining;SEMI S234;Gas Purity Analysis;Provided by vendor;Level 2;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Flow Management System;WLS-002;Lid for chamber;1;Stainless Steel;Vendor Q;$15,000;10 weeks;Medium;External;A.2;Robotic Assembly;SEMI S890;Pressure Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Plasma Source Assembly;CSS-002;Gas purification and filtration;1;Stainless Steel;Vendor D;$30,000;14 weeks;Medium;External;A.2;Robotic Assembly;SEMI S678;Pressure Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;WHS-001;High-voltage power supply;1;Copper, Silicon;Vendor Q;$28,000;10 weeks;High;External;A.1;Precision Machining;SEMI S345;Diagnostics Performance Test;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;-
Gas Purification System;CHM-001;System for loading wafers into chamber;1;Aluminum Alloy;Vendor H;$25,000;8 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Visual Inspection;Provided by vendor;Level 1;30 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;ISA-002;Main chamber body;1;Stainless Steel;Vendor H;$8,000;8 weeks;Medium;External;A.1;Vacuum Technology;SEMI S456;Visual Inspection;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Vacuum System;LID-001;System for loading wafers into chamber;1;Various;Vendor H;$28,000;8 weeks;High;External;A.3;Electronic Assembly;SEMI S890;Electrical Safety Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;WLS-002;System for controlling gas flow rates;1;Aluminum Alloy;Vendor L;$15,000;10 weeks;High;External;B.1;Vacuum Technology;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 2;200 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;WHS-001;RF Generator and Electrostatic Chuck Assembly;1;Inconel;Vendor J;$18,000;20 weeks;Medium;External;A.1;Quartz Fabrication;SEMI S890;Temperature Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;PCU-002;Ion source for plasma etching;1;Electronic Components;Vendor K;$10,000;8 weeks;High;External;A.1;Integration of Diagnostics;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;12 weeks;High;External;A.1;Software Development;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Vacuum System;VS-002;High-voltage power supply;1;Stainless Steel;Vendor I;$22,000;20 weeks;High;External;B.1;Thermoelectric Cooling;SEMI S567;Electrical Tests;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;PDM-002;High-voltage power supply;1;Software;Vendor K;$28,000;14 weeks;High;External;A.1;Vacuum Technology;SEMI S234;Helium Leak Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;ISA-002;RF Generator and Electrostatic Chuck Assembly;1;Copper, Silicon;Vendor B;$15,000;16 weeks;High;External;A.1;CNC Machining;SEMI S456;Helium Leak Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;-
Control Software System;WHS-001;Software system for process control;1;Software;Vendor Q;$5,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Gas Flow Management System;TCU-002;Software system for process control;1;Copper, Silicon;Vendor H;$15,000;14 weeks;High;External;A.1;Electronic Assembly;SEMI S234;Mass Spectrometry Test;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during handling
Cooling System;CS-002;Closed-loop coolant system;1;Stainless Steel;Vendor G;$16,000;12 weeks;High;External;B.1;Quartz Fabrication;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;-
Gas Purification System;PSA-001;High-performance vacuum system;1;Aluminum Alloy;Vendor P;$15,000;8 weeks;Medium;External;B.1;Integration of Components;SEMI S345;Robotic Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;EC-002;Robot arm and wafer chuck;1;Aluminum Alloy, Ceramic;Vendor E;$18,000;15 weeks;High;External;A.3;Laser Cutting, Assembly;SEMI S456;Temperature Stability Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;WLS-002;Specialized chamber for etching process;1;Inconel;Vendor L;$22,000;16 weeks;Medium;External;A.3;Laser Cutting, Assembly;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Gas Flow Management System;WHS-001;Ion source for plasma etching;1;Various;Vendor A;$22,000;16 weeks;High;External;B.2;Software Development;SEMI S567;Electrical Tests;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;WLS-002;Control system for plasma parameters;1;Aluminum Alloy;Vendor H;$10,000;12 weeks;Medium;External;A.1;Software Development;SEMI S345;Electrical Tests;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;WLS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor K;$18,000;20 weeks;Medium;External;A.3;CNC Machining;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Stainless Steel;Vendor Q;$8,000;10 weeks;High;External;A.2;CNC Machining;SEMI S678;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Ion Source Assembly;ISA-002;Diagnostic tools for monitoring plasma;1;Titanium;Vendor J;$15,000;16 weeks;Medium;External;A.1;Integration of Diagnostics;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CS-002;Main chamber body;1;Copper, Silicon;Vendor Q;$8,000;10 weeks;Medium;External;B.1;Precision Machining;SEMI S678;Leak Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;WLS-002;Software system for process control;1;Electronic Components;Vendor D;$8,000;10 weeks;Medium;External;A.1;Software Development;SEMI S123;Helium Leak Test;Provided by vendor;Level 1;50 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;WLS-002;Ion source for plasma etching;1;Stainless Steel;Vendor L;$18,000;20 weeks;Medium;External;A.2;Laser Cutting, Assembly;SEMI S890;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Gas Flow Management System;WHS-001;Closed-loop coolant system;1;Stainless Steel;Vendor G;$16,000;10 weeks;Medium;External;A.2;Filtration and Purification;SEMI S678;Pressure Test;Provided by vendor;Level 2;-;Custom crate;RoHS, REACH;-
Plasma Diagnostics Module;PCU-002;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor O;$20,000;8 weeks;Medium;External;B.2;Vacuum Technology;SEMI S789;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;30 kg;Digital delivery;RoHS, REACH;-
Temperature Control Unit;GFMS-002;Main chamber body;1;Aluminum Alloy;Vendor F;$8,000;14 weeks;High;External;A.1;Electronic Assembly;SEMI S567;Software Testing;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;-
Plasma Source Assembly;VS-002;High-voltage power supply;1;Stainless Steel;Vendor A;$8,000;8 weeks;Medium;External;B.1;Vacuum Technology;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Wafer Loading System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor G;$8,000;10 weeks;Medium;External;A.2;Vacuum Technology;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-
