Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
0,2025-01-01 08:00:00,WLS-002,99001,Magnetic Field Manipulation Unit,1,Various,Vendor A,20045,22 weeks,High,External,A.3,Integration of Diagnostics,SEMI S678,Spectral Resolution Test,Provided by vendor,Level 2,144,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2026-07-01 08:00:00,PHOTO-002,30690,High-performance vacuum system,1,Various,Vendor EE,30000,22 weeks,High,External,A.3,Integration of Components,SEMI S789,RFQ Stability Test,Provided by vendor,Level 2,84,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
40,2027-05-01 08:00:00,ISA-002,11223,Scanning Probe Microscopy System,1,Optical Elements,Vendor P,10981,15 weeks,High,External,A.3,Quartz Fabrication,SEMI S890,Gas Flow Stability Test,Provided by vendor,Level 2,48,Custom crate,,Safety interlocks during operation,90.0
40,2027-02-01 08:00:00,CVL-002,96335,Plasma Monitoring System,1,Titanium,Vendor U,30000,20 weeks,High,External,B.2,EDA Integration,SEMI S678,Beam Collimation Accuracy Test,Provided by vendor,Level 2,87,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
31,2025-05-01 08:00:00,TOF-001,92933,Residual Gas Analyzer,1,Electronic Components,Vendor WW,5000,20 weeks,Medium,External,A.1,Photolithography Integration,SEMI S567,Software Testing,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
56,2023-06-01 08:00:00,NANO-002,90296,Scanning Probe Microscopy System,1,"Ceramic, Silicon",Vendor DD,30000,12 weeks,High,External,B.2,TOF-MS Integration,SEMI S234,Resolution Test,Provided by vendor,Level 2,77,Custom crate,"RoHS, REACH",Safety interlocks during operation,235.0
22,2026-06-01 08:00:00,HVM-002,13996,Plasma Monitoring System,1,Electronic Components,Vendor B,9693,12 weeks,High,External,A.2,AFR Integration,SEMI S567,Activation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
51,2024-04-01 08:00:00,HGA-001,87437,Plasma Resonance Analyzer,1,"Ceramic, Silicon",Vendor P,30000,18 weeks,High,External,A.2,Electronic Assembly,SEMI S789,Nanoparticle Size Analysis,Provided by vendor,Level 2,119,,"RoHS, REACH",Safety interlocks during operation,240.0
2,2026-03-01 08:00:00,PMS-001,68667,Specialized chamber for etching process,1,"Ferrite, Copper",Vendor VV,25401,8 weeks,Medium,External,A.1,MAS Integration,SEMI S567,Vacuum Integrity Test,Provided by vendor,Level 1,91,Custom crate,"RoHS, REACH",-,240.0
0,2027-06-01 08:00:00,RFI-002,81829,Digital-to-Analog Converter,1,"Stainless Steel, Glass",Vendor P,28913,14 weeks,Medium,External,B.1,Electronic Assembly,SEMI S345,Voltage Modulation Test,Provided by vendor,Level 1,74,Custom crate,"RoHS, REACH",-,90.0
37,2026-01-01 08:00:00,NANO-002,11223,Extreme Ultraviolet Light Source,1,"Electronic Components, Ceramic",Vendor D,30000,15 weeks,High,External,B.1,FTIR Spectroscopy Integration,SEMI S789,Diagnostics Performance Test,Provided by vendor,Level 2,83,,"RoHS, REACH",Safety interlocks during operation,240.0
0,2027-08-01 08:00:00,ION-002,11223,Magnetic Field Manipulation Unit,1,"Copper, Ceramic",Vendor C,30000,12 weeks,High,External,B.1,RMS Integration,SEMI S456,Separation Efficiency Test,Provided by vendor,Level 2,123,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,218.0
58,2025-06-01 08:00:00,DAS-002,11223,System for loading wafers into chamber,1,Zinc Selenide,Vendor EEE,15899,22 weeks,High,External,B.1,DAS Integration,SEMI S567,Activation Efficiency Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,158.0
54,2025-01-01 08:00:00,EC-002,99001,Dielectric Barrier Discharge Unit,1,"Aluminum Alloy, Ceramic",Vendor UU,26664,10 weeks,Medium,External,B.2,Electronic Assembly,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 1,35,Custom packaging,"RoHS, REACH",-,90.0
4,2026-03-01 08:00:00,PSU-002,16700,Ion Implantation Module,1,"Stainless Steel, Glass",Vendor ZZ,6004,14 weeks,Medium,External,B.2,TOF-MS Integration,SEMI S345,Temperature Profile Test,Provided by vendor,Level 2,200,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
40,2027-08-01 08:00:00,PCB-002,11223,Chemical Mechanical Polishing Unit,1,"Ceramic, Silicon",Vendor JJ,15376,14 weeks,High,External,A.3,MFM Integration,SEMI S456,Temperature Profile Test,Provided by vendor,Level 1,113,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
34,2023-05-01 08:00:00,CMP-002,66397,Gas Chromatography Module,1,Stainless Steel,Vendor MM,5000,10 weeks,Medium,External,B.2,AFR Integration,SEMI S456,Voltage Modulation Test,Provided by vendor,Level 1,45,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2026-08-01 08:00:00,PCB-002,11223,Laser Beam Collimation Unit,1,"Polyethylene, Silicon",Vendor YY,11323,16 weeks,High,External,B.1,Integration of Diagnostics,SEMI S345,Electrical Tests,Provided by vendor,Level 2,145,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
30,2023-06-01 08:00:00,WLS-002,31924,Plasma Monitoring System,1,"Gold, Polymer",Vendor AAA,13892,18 weeks,Medium,External,A.2,Flow Rate Calibration,SEMI S456,Beam Collimation Accuracy Test,Provided by vendor,Level 2,200,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2027-09-01 08:00:00,SPS-001,35961,High-performance vacuum system,1,Aluminum Alloy,Vendor YY,9841,12 weeks,Medium,External,B.2,Plasma Brush Technology,ISO 9001,Gas Composition Analysis,Provided by vendor,Level 2,37,Custom crate,"RoHS, REACH",-,238.0
35,2026-01-01 08:00:00,HEA-002,11223,Nanoparticle Deposition Module,1,Stainless Steel,Vendor NN,17660,18 weeks,High,External,A.3,Ultrasonic Testing Integration,SEMI S456,Plasma Characteristics Analysis,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during maintenance,134.0
45,2025-05-01 08:00:00,RFS-002,14861,Spectroscopic Ellipsometry Module,1,Various,Vendor VV,28626,16 weeks,Medium,External,B.1,RFS Integration,SEMI S789,Electrical Tests,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,90.0
0,2026-02-01 08:00:00,SPS-001,54724,Liquid Chromatography Unit,1,"Copper, Silicon",Vendor J,19560,18 weeks,High,External,B.2,MAS Integration,SEMI S567,Mass Spectrometry Test,Provided by vendor,Level 2,123,Custom crate,"RoHS, REACH",Safety interlocks during operation,136.0
41,2027-11-01 08:00:00,PCB-002,99001,High-Energy Accelerator,1,"Copper, Ceramic",Vendor X,16252,10 weeks,High,External,B.2,HEA Integration,SEMI S234,Diagnostics Performance Test,Provided by vendor,Level 2,121,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2024-07-01 08:00:00,UTS-002,99001,High-voltage power supply,1,Silicon,Vendor KK,29038,10 weeks,High,External,A.2,MEMS Fabrication,SEMI S456,Diagnostics Performance Test,Provided by vendor,Level 2,36,Digital delivery,"RoHS, REACH",Safety interlocks during operation,150.0
58,2024-05-01 08:00:00,MFM-002,99001,Residual Gas Analyzer,1,"Copper, Teflon",Vendor ZZ,5115,10 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S678,Voltage Limiting Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",,90.0
43,2023-03-01 08:00:00,RFQ-002,99001,Nanoparticle Deposition Module,1,Electronic Components,Vendor HH,26344,14 weeks,Medium,External,A.1,CVL Integration,SEMI S234,Acoustic Wave Control Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,90.0
32,2023-11-01 08:00:00,ION-002,11223,Dielectric Barrier Discharge Unit,1,Quartz,Vendor UU,10805,20 weeks,High,External,A.2,THZ Spectroscopy Integration,SEMI S456,Functional Tests,Provided by vendor,Level 1,26,Custom crate,"RoHS, REACH",Safety interlocks during operation,97.0
0,2027-03-01 08:00:00,AFR-002,11223,High-Voltage Modulator,1,"Titanium, Silicon",Vendor V,12567,16 weeks,High,External,A.3,EMF Integration,SEMI S234,Ion Energy Distribution,Provided by vendor,Level 2,200,,"RoHS, REACH",Safety interlocks during operation,240.0
28,2027-03-01 08:00:00,RFI-002,66155,Reactive Mass Spectrometry Module,1,Carbon Composite,Vendor M,20925,16 weeks,Medium,External,B.2,GC Integration,SEMI S234,Activation Efficiency Test,Provided by vendor,Level 1,25,Custom packaging,"RoHS, REACH",-,142.0
0,2024-03-01 08:00:00,MAS-002,74413,Reactive Mass Spectrometry Module,1,"Titanium, Polypropylene",Vendor VV,30000,15 weeks,High,External,A.1,EDA Integration,SEMI S678,Ion Energy Distribution,Provided by vendor,level 1,137,,"RoHS, REACH",Safety interlocks during operation,240.0
0,2025-02-01 08:00:00,CS-002,99001,Fourier Transform Spectrometer Module,1,Electronic Components,Vendor QQ,30000,16 weeks,Medium,External,B.1,PRA Integration,SEMI S456,Terahertz Wave Analysis,Provided by vendor,Level 1,139,Custom packaging,"RoHS, REACH",Safety interlocks during operation,102.0
32,2026-06-01 08:00:00,UTS-002,11223,Radio Frequency Quadrupole Unit,1,Stainless Steel,Vendor HH,30000,8 weeks,Medium,External,B.1,MIR Spectroscopy Integration,ISO 9001,Wavelength Accuracy Test,Provided by vendor,level 1,70,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2026-01-01 08:00:00,RFQ-002,68756,Cathode Voltage Limiter,1,"Inconel, Polyurethane",Vendor P,16571,22 weeks,High,External,A.3,PMS Integration,SEMI S567,Ultrasonic Testing,Provided by vendor,Level 2,100,,"RoHS, REACH",Safety interlocks during operation,240.0
16,2024-04-01 08:00:00,EDA-001,99001,Low-Pressure Chamber Module,1,"Aluminum, Glass",Vendor FFF,17592,12 weeks,High,External,A.2,DAS Integration,SEMI S456,Nanoparticle Size Analysis,Provided by vendor,Level 1,86,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
16,2024-04-01 08:00:00,PHOTO-002,14568,Remote Plasma Inspection Unit,1,Zinc Selenide,Vendor OO,30000,16 weeks,High,External,B.2,Electronic Assembly,SEMI S234,Visual Inspection,Provided by vendor,Level 2,58,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
27,2027-02-01 08:00:00,ISA-002,11223,Fourier Transform Spectrometer Module,1,"Titanium, Quartz",Vendor JJ,30000,20 weeks,High,External,B.1,Integration of Components,SEMI S789,Data Accuracy Test,Provided by vendor,Level 1,104,Custom packaging,"RoHS, REACH",Safety interlocks during operation,193.0
58,2024-10-01 08:00:00,RFS-002,87292,High-Energy Accelerator,1,Optical Elements,Vendor NN,21848,22 weeks,High,External,A.3,Robotic Assembly,SEMI S678,Terahertz Wave Analysis,Provided by vendor,level 1,125,Custom crate,"RoHS, REACH",Safety interlocks during operation,109.0
58,2023-03-01 08:00:00,EC-002,11223,Gas purification and filtration,1,Zinc Selenide,Vendor P,9828,14 weeks,High,External,B.2,CNC Machining,SEMI S345,Temperature Stability Test,Provided by vendor,Level 2,27,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
0,2024-01-01 08:00:00,RFS-002,99001,Gas purification and filtration,1,Stainless Steel,Vendor FF,24312,8 weeks,High,External,A.3,LC Integration,SEMI S567,Cleaning Efficiency Test,Provided by vendor,Level 1,88,Custom crate,"RoHS, REACH",-,149.0
0,2025-07-01 08:00:00,PCB-002,99001,Advanced Plasma Source,1,Electronic Components,Vendor EE,19344,18 weeks,High,External,A.2,Hydrogen Activation Process,SEMI S234,Gas Flow Stability Test,Provided by vendor,Level 2,122,Custom packaging,"RoHS, REACH",-,160.0
54,2027-09-01 08:00:00,HEA-002,11223,RF Generator and Electrostatic Chuck Assembly,1,"Ferrite, Copper",Vendor C,9590,16 weeks,High,External,A.2,Electronic Assembly,ISO 9001,Pressure Uniformity Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,213.0
0,2023-01-01 08:00:00,RMS-002,11223,Extreme Ultraviolet Light Source,1,"Titanium, Polypropylene",Vendor F,16073,14 weeks,Medium,External,B.2,Remote Plasma Technology,SEMI S234,Resolution Enhancement Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,240.0
44,2026-11-01 08:00:00,HGA-001,29110,Plasma Control Software System,1,"Stainless Steel, Polyethylene",Vendor T,11732,10 weeks,High,External,A.2,CVL Integration,SEMI S345,Microstructural Analysis,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",Safety interlocks during operation,217.0
0,2025-10-01 08:00:00,DTP-001,99001,Reactive Mass Spectrometry Module,1,Quartz,Vendor UU,29196,14 weeks,High,External,A.1,Electronic Assembly,SEMI S789,Activation Efficiency Test,Provided by vendor,Level 1,86,Custom packaging,"RoHS, REACH",-,240.0
32,2027-10-01 08:00:00,HVM-002,32181,Laser Beam Collimation Unit,1,"Copper, Teflon",Vendor Z,15664,20 weeks,High,External,B.1,DTP Integration,SEMI S789,Diagnostics Performance Test,Provided by vendor,Level 2,150,Custom crate,"RoHS, REACH",-,98.0
58,2024-04-01 08:00:00,PSA-001,99001,Fourier Transform Spectrometer Module,1,Various,Vendor J,30000,15 weeks,High,External,A.3,Integration of Diagnostics,SEMI S123,Wavelength Accuracy Test,Provided by vendor,Level 2,31,Custom crate,"RoHS, REACH",Safety interlocks during operation,223.0
44,2025-03-01 08:00:00,NANO-002,41713,Diagnostic tools for monitoring plasma,1,"Stainless Steel, Glass",Vendor E,7774,14 weeks,Medium,External,B.1,HVM Integration,SEMI S567,Gas Composition Analysis,Provided by vendor,Level 1,57,,"RoHS, REACH",Safety interlocks during operation,90.0
24,2025-04-01 08:00:00,GC-002,11223,Liquid Chromatography Unit,1,"Polyethylene, Aluminum",Vendor DDD,7780,10 weeks,High,External,B.2,HVM Integration,SEMI S456,Temperature Profile Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
54,2025-09-01 08:00:00,DTP-001,83994,Robot arm and wafer chuck,1,"Glass, Quartz",Vendor BB,27895,22 weeks,Medium,External,B.2,RFS Integration,SEMI S890,Software Testing,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,177.0
42,2024-06-01 08:00:00,CMP-002,11223,Micro-Etching Module,1,Stainless Steel,Vendor G,5000,14 weeks,High,External,B.1,ACU Integration,SEMI S456,Pressure Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2026-08-01 08:00:00,CVL-002,25431,Robot arm and wafer chuck,1,Stainless Steel,Vendor V,15618,8 weeks,Medium,External,A.1,CMP Technology,SEMI S789,Analog Signal Accuracy Test,Provided by vendor,Level 1,155,Custom packaging,"RoHS, REACH",-,173.0
7,2027-01-01 08:00:00,HGA-001,89829,Remote Plasma Inspection Unit,1,Ceramic,Vendor JJ,17697,14 weeks,Medium,External,A.1,LC Integration,SEMI S456,Activation Efficiency Test,Provided by vendor,Level 1,66,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2023-11-01 08:00:00,ACU-002,27958,Specialized chamber for etching process,1,Electronic Components,Vendor JJ,30000,14 weeks,High,External,B.1,Electronics Integration,SEMI S567,Leak Test,Provided by vendor,Level 1,50,Custom crate,"RoHS, REACH",-,90.0
11,2024-06-01 08:00:00,RFS-002,11223,RF Generator and Electrostatic Chuck Assembly,1,Carbon Composite,Vendor AA,26567,8 weeks,High,External,B.1,Flow Rate Calibration,SEMI S456,Beam Collimation Accuracy Test,Provided by vendor,Level 2,25,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
16,2025-12-01 08:00:00,LID-001,11223,Residual Gas Analyzer,1,"Copper, Ceramic",Vendor L,20861,14 weeks,High,External,A.2,SPA Integration,SEMI S789,Visual Inspection,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,134.0
45,2025-08-01 08:00:00,RFI-002,11223,Control system for plasma parameters,1,Polypropylene,Vendor CCC,12583,10 weeks,High,External,A.2,Hydrogen Activation Process,SEMI S234,Separation Efficiency Test,Provided by vendor,Level 2,70,Custom crate,"RoHS, REACH",Safety interlocks during operation,97.0
28,2023-10-01 08:00:00,PDM-002,48982,Mid-Infrared Spectroscopy Module,1,"Quartz, Dielectric Materials",Vendor YY,30000,15 weeks,High,External,A.3,Quartz Fabrication,SEMI S234,Magnetic Field Uniformity Test,Provided by vendor,Level 2,89,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
37,2024-06-01 08:00:00,NANO-002,11223,Atomic Force Resonance Module,1,"Gold, Polymer",Vendor DDD,19866,22 weeks,High,External,A.3,FTS Integration,SEMI S234,Diagnostics Performance Test,Provided by vendor,Level 1,116,,"RoHS, REACH",Safety interlocks during operation,236.0
20,2025-07-01 08:00:00,DAC-002,99001,Magnetic Field Manipulation Unit,1,Stainless Steel,Vendor EEE,21048,14 weeks,Medium,External,B.2,CMP Technology,SEMI S234,Visual Inspection,Provided by vendor,Level 1,25,Custom packaging,"RoHS, REACH",-,240.0
27,2025-04-01 08:00:00,WHS-001,99001,Mid-Infrared Spectroscopy Module,1,Various,Vendor JJ,30000,20 weeks,High,External,A.3,MIR Spectroscopy Integration,SEMI S234,Nanoparticle Size Analysis,Provided by vendor,Level 2,149,,,Safety interlocks during operation,240.0
2,2024-03-01 08:00:00,WHS-001,13169,Gas Chromatography Module,1,Stainless Steel,Vendor C,21936,12 weeks,Medium,External,B.1,Integration of Diagnostics,SEMI S345,Separation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,117.0
55,2026-08-01 08:00:00,MIR-001,99001,System for controlling gas flow rates,1,"Titanium, Quartz",Vendor T,28793,14 weeks,Medium,External,A.2,Filtration and Purification,SEMI S234,Ultrasonic Testing,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
0,2027-04-01 08:00:00,AFR-002,25380,High-Voltage Modulator,1,Optical Elements,Vendor NN,5000,15 weeks,High,External,A.2,Robotic Assembly,SEMI S123,Cleaning Efficiency Test,Provided by vendor,Level 1,200,Custom crate,"RoHS, REACH",-,127.0
47,2023-05-01 08:00:00,HEA-002,11675,Low-Pressure Chamber Module,1,Stainless Steel,Vendor E,15674,12 weeks,High,External,B.1,Plasma Brush Technology,SEMI S234,Dielectric Barrier Discharge Test,Provided by vendor,Level 2,33,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2024-04-01 08:00:00,HGA-001,78986,Scanning Probe Microscopy System,1,"Aluminum, Optical Glass",Vendor N,28360,8 weeks,High,External,B.2,SPS Integration,SEMI S345,Resolution Test,Provided by vendor,Level 2,149,,"RoHS, REACH",-,238.0
58,2023-05-01 08:00:00,PMS-001,99001,High-performance vacuum system,1,Zinc Selenide,Vendor NN,11096,14 weeks,Medium,External,A.2,"CNC Machining, Welding",SEMI S345,Reactive Ionization Test,Provided by vendor,Level 1,81,Custom crate,"RoHS, REACH",,90.0
0,2025-04-01 08:00:00,EUV-001,64841,Gas Chromatography Module,1,Stainless Steel,Vendor UU,6118,14 weeks,Medium,External,B.2,DTP Integration,SEMI S678,Helium Leak Test,Provided by vendor,Level 2,31,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening,240.0
37,2027-04-01 08:00:00,EMF-002,11223,Gas purification and filtration,1,"Titanium, Polypropylene",Vendor EE,5000,10 weeks,Medium,External,A.2,Advanced Plasma Generation,SEMI S456,Analog Signal Accuracy Test,Provided by vendor,Level 2,200,Digital delivery,"RoHS, REACH",-,90.0
26,2024-11-01 08:00:00,DAS-002,11223,Fourier Transform Infrared Spectroscopy Module,1,"Polyethylene, Silicon",Vendor H,17325,12 weeks,Medium,External,A.2,Ultrasonic Testing Integration,SEMI S123,Mass Spectrometry Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
2,2023-05-01 08:00:00,FTIR-001,11223,Atomic Force Resonance Module,1,Carbon Composite,Vendor HH,14446,20 weeks,High,External,A.1,RFQ Integration,SEMI S789,Diagnostics Performance Test,Provided by vendor,Level 1,112,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2027-06-01 08:00:00,PLC-002,22218,Data Acquisition System,1,Stainless Steel,Vendor T,30000,16 weeks,High,External,B.2,MIR Spectroscopy Integration,SEMI S234,Electrical Safety Tests,Provided by vendor,level 1,105,Custom crate,"RoHS, REACH",-,210.0
20,2027-09-01 08:00:00,MEMS-002,27928,Robot arm and wafer chuck,1,"Gold, Quartz",Vendor JJ,12250,14 weeks,High,External,A.2,Photolithography Integration,SEMI S123,Dielectric Barrier Discharge Test,Provided by vendor,Level 2,70,Custom packaging,"RoHS, REACH",Safety interlocks during operation,166.0
0,2025-08-01 08:00:00,MEMS-002,87754,Gas purification and filtration,1,Stainless Steel,Vendor P,12623,14 weeks,Medium,External,B.1,SPS Integration,SEMI S567,Polishing Uniformity Test,Provided by vendor,Level 1,93,Custom crate,"RoHS, REACH",,90.0
0,2026-12-01 08:00:00,HVM-002,11223,Plasma Control Software System,1,Electronic Components,Vendor PP,5000,10 weeks,Medium,External,A.2,TOF-MS Integration,SEMI S345,Voltage Limiting Test,Provided by vendor,Level 1,81,Custom packaging,"RoHS, REACH",Safety interlocks during operation,222.0
8,2023-06-01 08:00:00,DAC-002,16800,Ultrasonic Testing System,1,Ceramic,Vendor YY,13411,10 weeks,High,External,A.2,CNC Machining,SEMI S789,Activation Efficiency Test,Provided by vendor,Level 1,109,Custom crate,"RoHS, REACH",Safety interlocks during lid opening,240.0
0,2023-03-01 08:00:00,HGA-001,11223,Diagnostic tools for monitoring plasma,1,Various,Vendor DD,25979,20 weeks,High,External,A.3,MFM Integration,SEMI S234,Wavelength Accuracy Test,Provided by vendor,Level 2,116,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
0,2024-07-01 08:00:00,RFQ-002,11223,Gas Chromatography Module,1,Carbon Composite,Vendor F,24230,14 weeks,Medium,External,A.2,"Laser Cutting, Assembly",SEMI S345,Temperature Profile Test,Provided by vendor,Level 2,90,Custom crate,"RoHS, REACH",Safety interlocks during operation,169.0
31,2027-01-01 08:00:00,ION-002,78963,Spectroscopic Ellipsometry Module,1,"Polyethylene, Silicon",Vendor P,28959,15 weeks,High,External,A.2,FTIR Spectroscopy Integration,SEMI S345,Diagnostics Performance Test,Provided by vendor,Level 1,56,Custom crate,"RoHS, REACH",-,90.0
23,2023-12-01 08:00:00,TCU-002,11223,Atomic Force Resonance Module,1,"Silicon, Aluminum",Vendor K,30000,16 weeks,High,External,B.1,MAS Integration,SEMI S345,Diagnostics Performance Test,Provided by vendor,Level 1,131,Custom crate,"RoHS, REACH",Safety interlocks during operation,212.0
0,2023-05-01 08:00:00,HGA-001,11223,Ultrasonic Testing System,1,"Ceramic, Polyurethane",Vendor Q,12172,14 weeks,Medium,External,B.1,DTP Integration,ISO 9001,Electrical Tests,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",-,240.0
20,2024-04-01 08:00:00,LID-001,11223,Diagnostic tools for monitoring plasma,1,"Titanium, Glass",Vendor DDD,18031,12 weeks,High,External,A.2,Vacuum Technology,SEMI S789,Particle Acceleration Test,Provided by vendor,Level 2,40,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
23,2026-12-01 08:00:00,MIR-001,11223,Gas distribution manifold,1,"Polyethylene, Aluminum",Vendor EE,18546,12 weeks,High,External,B.1,Thermoelectric Cooling,SEMI S234,Activation Efficiency Test,Provided by vendor,level 1,27,,"RoHS, REACH",Safety interlocks during operation,240.0
6,2025-05-01 08:00:00,UTS-002,11223,Chemical Mechanical Polishing Unit,1,"Copper, Ceramic",Vendor GG,5000,10 weeks,High,External,A.1,DAS Integration,SEMI S678,Diagnostics Performance Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,169.0
0,2023-03-01 08:00:00,RFI-002,11769,Control system for plasma parameters,1,"Polyethylene, Silicon",Vendor P,20200,16 weeks,High,External,A.2,RFS Integration,SEMI S789,Reactive Ionization Test,Provided by vendor,Level 1,39,Custom crate,"RoHS, REACH",Safety interlocks during operation,240.0
8,2024-04-01 08:00:00,EUV-001,99001,Time-of-Flight Mass Spectrometry Module,1,Various,Vendor XYZ,30000,20 weeks,High,External,A.2,Electronic Assembly,SEMI S234,Visual Inspection,Provided by vendor,Level 2,133,,"RoHS, REACH",Safety interlocks during operation,240.0
38,2027-11-01 08:00:00,CMP-002,99001,Micro-Etching Module,1,Stainless Steel,Vendor VV,5000,12 weeks,Medium,External,B.1,Nanoparticle Deposition,SEMI S567,Visual Inspection,Provided by vendor,Level 1,63,Custom crate,"RoHS, REACH",-,90.0
58,2026-03-01 08:00:00,GC-002,91400,Digital-to-Analog Converter,1,Stainless Steel,Vendor O,22066,12 weeks,Medium,External,B.2,EDA Integration,SEMI S890,Separation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
27,2025-01-01 08:00:00,GFMS-002,96244,High-Voltage Modulator,1,"Gold, Polymer",Vendor ZZ,30000,12 weeks,High,External,B.2,Ion Implantation Process,SEMI S456,Terahertz Wave Analysis,Provided by vendor,Level 1,115,Custom crate,"RoHS, REACH",Safety interlocks during operation,233.0
0,2023-12-01 08:00:00,GDS-001,11223,Terahertz Spectroscopy Module,1,"Stainless Steel, Glass",Vendor RR,30000,15 weeks,High,External,A.1,Quartz Fabrication,SEMI S234,Voltage Limiting Test,Provided by vendor,Level 2,113,Digital delivery,"RoHS, REACH",Safety interlocks during operation,240.0
22,2024-11-01 08:00:00,LID-001,75692,Gas purification and filtration,1,Stainless Steel,Vendor A,6468,12 weeks,Medium,External,A.2,LPC Integration,SEMI S678,Voltage Modulation Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,112.0
23,2024-08-01 08:00:00,CMP-002,11223,RF Generator and Electrostatic Chuck Assembly,1,"Stainless Steel, Glass",Vendor A,18787,16 weeks,Medium,External,A.2,Flow Rate Calibration,SEMI S345,Deposition Uniformity Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",,148.0
0,2026-02-01 08:00:00,PMS-001,11819,Gas purification and filtration,1,"Stainless Steel, Glass",Vendor BBB,28073,14 weeks,High,External,A.2,CNC Machining,SEMI S567,Leak Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during handling,90.0
46,2024-01-01 08:00:00,GDS-001,11223,Digital-to-Analog Converter,1,"Gold, Quartz",Vendor Y,30000,14 weeks,Medium,External,A.3,MFM Integration,SEMI S789,Ion Dose Uniformity Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",,90.0
58,2023-01-01 08:00:00,RFI-002,11223,Laser Beam Collimation Unit,1,Stainless Steel,Vendor F,5000,14 weeks,Medium,External,A.2,CNC Machining,SEMI S456,Leak Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during handling,96.0
0,2023-01-01 08:00:00,VS-002,11223,Plasma Resonance Analyzer,1,"Polyethylene, Silicon",Vendor KK,10321,10 weeks,Medium,External,A.1,RFS Integration,SEMI S567,Plasma Characteristics Analysis,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,112.0
